First_Name,Gender
tùng,1
vy,0
huy,1
vân,0
long,1
khanh,0
diệp,0
khang,1
thái,1
nhật,1
quỳnh,0
đức,1
tấn,1
hiếu,1
yến,0
thanh,0
chi,0
nghĩa,1
dân,0
chương,1
việt,0
việt,1
mạnh,1
nhi,0
khánh,1
trung,1
đạt,1
giàu,1
duy,1
linh,0
phúc,1
ngọc,0
trang,0
thông,1
nhơn,1
dương,1
như,0
trọng,1
ngôn,1
huân,1
hoàng,1
kiều,0
hiền,0
thủy,0
xương,0
tú,1
duyên,0
anh,1
uyên,0
nam,1
phước,1
tuấn,1
tuyền,0
phong,1
giàu,0
minh,1
quí,1
tài,1
danh,1
hào,1
trúc,0
dũng,1
công,1
trân,0
triều,1
phương,0
tín,1
tiên,0
kiệt,1
nguyên,0
sang,1
huyền,0
ngân,0
đăng,1
thảo,1
toàn,1
tân,1
tú,0
liên,0
diễm,0
thiên,1
hùng,1
phi,1
thoại,1
tiến,1
thắng,1
thuận,1
thành,1
luân,1
bảo,1
dung,0
bình,1
thạch,1
thức,1
lưu,1
cường,1
nhân,1
mai,0
khoa,1
trường,1
hà,0
lam,1
hương,0
hảo,0
thư,0
lộc,1
sáng,1
văn,1
đơn,0
trầm,0
trinh,0
huệ,1
thuận,0
nữ,0
giang,0
anh,0
quân,1
bình,0
trí,1
nhung,0
mơ,0
trâm,0
sang,0
thiên,0
nhàn,1
vinh,1
thiệu,1
thi,1
huỳnh,1
an,1
hưng,1
hòa,1
vi,0
ánh,0
châu,0
nguyên,1
hạnh,0
hiền,1
mỹ,0
khuyên,0
khoa,0
thanh,1
đại,1
lệ,0
khôi,1
đắc,1
thoa,0
thịnh,1
đào,0
xuân,0
ly,0
gấm,0
cảnh,1
tiên,1
nga,0
phương,1
trình,1
giang,1
sương,0
quyền,0
hiển,1
sơn,1
lĩnh,1
thượng,1
vũ,1
minh,0
phát,1
khanh,1
bằng,1
nhựt,1
vĩnh,1
khải,1
huệ,0
hải,0
tâm,1
my,0
trang,1
nhiều,1
thuý,0
tuyết,0
lâm,1
oanh,1
quốc,1
thiện,1
tính,0
phú,1
biên,1
lợi,1
nhất,1
lanh,0
nhanh,1
hậu,1
lý,1
hương,1
lũy,1
hằng,0
quyền,1
hoa,0
kiên,1
ái,0
lợi,0
ân,1
lài,0
vương,1
nguyệt,0
long,0
thảo,0
liễu,1
loan,0
du,1
hoài,1
đương,0
thúy,0
hóa,1
huân,0
tâm,0
dương,0
quyên,0
mỹ,1
thìn,1
thu,0
huynh,1
luật,1
tý,1
tây,1
được,0
khiêm,1
thuần,1
khuê,1
tra,1
thuật,1
mẫn,1
phượng,0
hận,1
tình,1
phúc,0
ý,0
sinh,1
tường,1
hồng,0
tuân,1
nha,1
hiệp,1
ký,1
ẩn,1
lãm,1
